id,best_players,min_players,max_playtime,weight
168435,6.0,1,25,1.8166
214880,4.0,2,180,4.0136
71721,1.0,1,60,2.4194
241724,3.0,1,60,2.1812
31563,3.0,2,180,3.5543
55600,3.0,2,120,3.5017
68425,3.0,2,45,2.5056
183840,2.0,2,30,2.2964
249381,4.0,2,60,2.32
284760,3.0,2,60,2.3077
483,7.0,2,360,3.3473
173442,5.0,2,150,3.3373
329839,4.0,3,30,1.0769
143515,4.0,2,75,2.5523
255692,4.0,2,75,2.8765
266830,5.0,3,45,1.6538
306040,4.0,1,90,3.4522
2163,2.0,2,45,2.5031
586,2.0,2,60,3.4049
192457,4.0,2,120,3.2663
179803,4.0,2,120,2.3913
552,4.0,3,120,3.0462
20100,7.0,3,25,1.2106
244228,2.0,2,45,1.8194
36235,2.0,2,30,2.4844
201825,3.0,1,45,2.5476
214887,3.0,1,120,4.073
220520,2.0,1,40,2.575
47185,2.0,2,45,2.733
156943,4.0,2,60,2.6579
21882,4.0,2,50,2.2924
200147,4.0,2,45,2.022
43528,4.0,2,120,2.8132
162286,2.0,2,75,2.288
137988,3.0,1,60,2.6812
340466,5.0,3,240,2.9438
26997,2.0,2,150,3.2944
230244,3.0,1,120,3.864
281442,2.0,1,120,4.1241
170416,4.0,1,75,3.63
203417,2.0,1,150,2.5493
283864,5.0,1,15,1.2466
160499,4.0,2,40,1.8578
169654,5.0,2,30,1.1724
315767,4.0,1,45,2.1351
79127,2.0,2,120,3.0565
204516,2.0,2,120,2.5905
244114,4.0,2,90,3.1351
300300,2.0,1,90,2.0833
280480,3.0,2,150,3.8101
2453,4.0,2,20,1.7612
110277,4.0,2,30,2.2351
40628,2.0,2,45,2.0818
131287,4.0,2,120,3.749
218333,4.0,2,20,1.1061
158435,5.0,3,75,2.6731
91872,4.0,1,60,2.585
251678,3.0,1,30,1.4235
1035,2.0,2,60,4.0363
295374,5.0,1,25,1.8636
198830,4.0,1,180,3.3053
202670,4.0,2,120,2.5263
38996,2.0,2,90,2.8555
171273,4.0,1,10,1.6622
156566,5.0,3,90,2.617
158889,2.0,2,45,2.7234
191051,4.0,2,110,3
45,6.0,2,30,1.2612
30957,4.0,2,120,2.8732
51,6.0,1,30,2.4059
181687,3.0,1,90,2.4793
117915,4.0,2,180,3.3431
179275,1.0,1,45,2.0359
12002,2.0,2,45,2.0705
41002,4.0,2,120,3.2326
218074,3.0,1,150,2.3
256570,3.0,1,75,3.1022
177478,4.0,2,90,2.9773
252153,3.0,1,60,2.598
197443,2.0,2,20,1.6667
177590,2.0,2,45,2.3307
301255,3.0,2,90,2.9688
194879,5.0,2,45,1.9836
283863,2.0,1,90,3.1473
163602,4.0,1,120,2.8961
161417,4.0,2,30,1.6907
12962,3.0,2,120,3.6767
180593,4.0,1,60,2.3764
528,2.0,2,60,2.7455
24800,2.0,1,120,3
11825,2.0,1,360,4.3132
41,3.0,2,30,1.1548
217780,4.0,1,90,3.1638
293296,3.0,2,30,1.8947
28181,2.0,2,180,3.2256
145659,4.0,2,90,2.7861
12891,4.0,3,210,3.1471
244608,3.0,1,60,1.6
300877,3.0,1,60,1.9845
204472,4.0,1,60,2.1383
244992,4.0,2,20,1.0729
218121,3.0,1,90,2.2991
18098,2.0,2,180,3.6453
148575,2.0,2,60,2.2984
103886,2.0,2,60,2.9675
175117,6.0,2,30,1.3224
166384,6.0,3,15,1.2363
279613,2.0,1,90,2.0625
30645,5.0,3,90,2.7644
137269,4.0,2,75,2.8955
234671,3.0,2,45,2.5167
220517,4.0,2,30,2.1552
94,5.0,2,90,2.5496
179172,4.0,2,125,2.7059
113997,5.0,2,60,1.8529
35570,4.0,3,90,2.8285
176165,3.0,2,30,2.0839
15512,8.0,3,30,1.1122
12902,3.0,2,45,2.2639
318182,2.0,1,120,3.6625
256999,4.0,1,60,2.3889
119788,4.0,2,150,3.1739
139898,4.0,2,90,3.5743
16747,4.0,2,45,1.0441
155362,8.0,4,30,1.2529
195137,2.0,2,90,2.2553
218479,2.0,1,120,4.3426
122298,2.0,2,30,1.7364
53953,3.0,1,60,2.5048
8125,5.0,3,75,2.4888
1465,5.0,3,45,1.7246
65244,4.0,2,30,1.7385
224597,2.0,2,30,2.4912
273330,2.0,1,75,2.9545
129948,4.0,2,60,2.6109
91514,3.0,2,15,1.0245
1041,3.0,3,75,2.6778
177678,4.0,2,120,3.5484
280794,2.0,1,180,3.4355
37380,2.0,1,45,1.7814
41066,6.0,2,420,4.4211
154458,2.0,2,45,2.6707
227460,2.0,2,200,3.9136
26990,5.0,3,90,3.2454
275467,6.0,2,45,1.9825
29368,5.0,2,90,2.2932
216459,1.0,1,50,1.8671
26566,4.0,2,90,3.043
82421,2.0,2,30,2.3086
132028,2.0,2,180,3.2553
156689,3.0,1,45,2.7067
244331,4.0,2,45,2.0339
1345,5.0,2,120,3.0777
173,5.0,2,120,1.9577
2181,4.0,4,60,3.8649
131260,4.0,2,15,1.1158
98229,6.0,3,25,1.5045
276182,3.0,1,150,3.3372
9440,5.0,2,90,3.1739
234477,4.0,2,90,2.732
228328,4.0,1,120,3.0606
329465,3.0,1,60,2.281
214029,3.0,1,240,2.9538
56692,4.0,2,45,1.4712
2093,4.0,3,120,2.5669
27976,2.0,2,60,2.2544
13642,4.0,2,100,3.0054
239464,1.0,1,15,1.7213
160851,4.0,2,30,1.5565
223953,4.0,1,45,2.2254
98351,3.0,2,120,2.8988
272738,4.0,2,60,2.2
108906,5.0,2,90,2.3889
491,3.0,3,60,2.4441
195560,3.0,2,120,2.9419
276498,2.0,2,30,2.0375
66356,4.0,1,60,2.6111
202408,5.0,3,60,2.378
82420,2.0,2,30,2.2319
151004,,2,45,2.2949
292375,3.0,1,180,3.7426
148319,4.0,2,120,3.5309
240,4.0,3,300,3.1623
172047,5.0,2,90,3.0185
65901,4.0,2,120,3.3672
108784,2.0,1,30,2.3312
238992,3.0,1,60,2.0161
338834,2.0,1,45,1.2188
27588,4.0,2,45,1.8599
201921,4.0,1,60,2.6562
285984,4.0,1,45,2.5714
59946,4.0,1,60,2.505
8051,2.0,2,60,2.3693
106217,4.0,2,90,2.9033
219215,7.0,4,10,1.1475
286751,3.0,1,60,2.4865
147151,6.0,4,40,1.3902
299047,3.0,2,60,2.3077
904,5.0,2,60,2.1061
254386,4.0,2,90,2.0741
191977,2.0,1,60,2.5674
52461,3.0,1,60,2.7074
203427,4.0,2,30,1.5968
193214,5.0,2,45,1.4458
38054,5.0,2,60,2.0437
207830,5.0,2,30,1.1171
310100,4.0,1,180,3.74
245643,4.0,2,45,1.9091
256788,7.0,4,45,1.2444
198740,5.0,2,15,1.4366
169124,2.0,2,45,1.3298
210296,4.0,1,120,2.9028
